F02	crates/sema-core/src/async_signal.rs:10://! is [`YieldReason::Sleep`], which a ctx-less `async/sleep` uses to surface a
F06	crates/sema-core/src/async_signal.rs:126:/// will NEVER resume from (cancellation via `async/cancel`, `async/timeout`
F06	crates/sema-core/src/async_signal.rs:139:thread_local! {
F06	crates/sema-core/src/async_signal.rs:160:thread_local! {
F08B	crates/sema-core/src/async_signal.rs:185:/// milliseconds (already bounded by the `async/sleep`/`async/timeout` caps).
F06	crates/sema-core/src/async_signal.rs:188:thread_local! {
F08B	crates/sema-core/src/async_signal.rs:193:/// real `Atomics.wait` on a `SharedArrayBuffer`, so `async/sleep` paces in real
F08B	crates/sema-core/src/async_signal.rs:196:/// `std::thread::sleep` default below.
F02	crates/sema-core/src/async_signal.rs:20:/// `NativeOutcome` ABI; only `async/sleep`'s ctx-less value ABI still yields.
F08B	crates/sema-core/src/async_signal.rs:217:    std::thread::sleep(std::time::Duration::from_millis(ms));
F02	crates/sema-core/src/async_signal.rs:22:pub enum YieldReason {
F06	crates/sema-core/src/async_signal.rs:253:thread_local! {
F06	crates/sema-core/src/async_signal.rs:27:thread_local! {
F02	crates/sema-core/src/async_signal.rs:30:    static YIELD_SIGNAL: RefCell<Option<YieldReason>> = const { RefCell::new(None) };
F06	crates/sema-core/src/async_signal.rs:350:thread_local! {
F02	crates/sema-core/src/async_signal.rs:36:    /// kept for the ctx-less `async/sleep` symmetry.
F02	crates/sema-core/src/async_signal.rs:42:    /// signal (e.g. `async/sleep`) check this to decide between yielding to the
F06	crates/sema-core/src/async_signal.rs:454:thread_local! {
F02	crates/sema-core/src/async_signal.rs:50:pub fn set_yield_signal(reason: YieldReason) {
F08A	crates/sema-core/src/async_signal.rs:531:/// program — including one blocked in a real `Atomics.wait` sleep.
F06	crates/sema-core/src/async_signal.rs:534:thread_local! {
F02	crates/sema-core/src/async_signal.rs:55:pub fn take_yield_signal() -> Option<YieldReason> {
F05	crates/sema-core/src/async_signal.rs:63:pub fn take_resume_value() -> Option<Value> {
F02	crates/sema-core/src/async_signal.rs:6://! sema-vm. Follows the same pattern as `set_eval_callback`.
F02	crates/sema-core/src/async_signal.rs:70:/// yielding native (`async/sleep`, …) surfaces the yield signal so the runtime
F06	crates/sema-core/src/async_signal.rs:84:thread_local! {
H09	crates/sema-core/src/async_signal.rs:95:    /// (`drive_handle_to_settlement` → `block_on_inbox`, which cannot work
F10	crates/sema-core/src/context.rs:153:        // natives (e.g. `async/sleep`, registered via the value-only ABI) can
F10	crates/sema-core/src/context.rs:170:    /// dispatched through `sema_core::call_callback`, which runs them on a fresh
F10	crates/sema-core/src/context.rs:183:        // ctx-less yielding natives via `in_runtime_quantum` — `async/sleep`,
F10	crates/sema-core/src/context.rs:19:/// values out of it (leaving nil behind). See [`call_callback_owned`].
F14	crates/sema-core/src/context.rs:815:thread_local! {
F10	crates/sema-core/src/context.rs:831:pub fn set_eval_callback(ctx: &EvalContext, f: EvalCallbackFn) {
F10	crates/sema-core/src/context.rs:838:pub fn set_call_callback(ctx: &EvalContext, f: CallCallbackFn) {
F10	crates/sema-core/src/context.rs:845:pub fn eval_callback(ctx: &EvalContext, expr: &Value, env: &Env) -> Result<Value, SemaError> {
F10	crates/sema-core/src/context.rs:854:pub fn call_callback(ctx: &EvalContext, func: &Value, args: &[Value]) -> Result<Value, SemaError> {
F10	crates/sema-core/src/context.rs:862:/// interpreter init, alongside [`set_call_callback`].
F10	crates/sema-core/src/context.rs:863:pub fn set_call_owned_callback(ctx: &EvalContext, f: CallOwnedCallbackFn) {
F10	crates/sema-core/src/context.rs:870:/// behind). This is the refcount-shedding variant of [`call_callback`] — a
F10	crates/sema-core/src/context.rs:875:pub fn call_callback_owned(
F10	crates/sema-core/src/context.rs:883:    call_callback(ctx, func, args)
F20	crates/sema-core/src/cycle.rs:321:/// Registered by sema-vm at startup (same pattern as `set_eval_callback`,
F20	crates/sema-core/src/cycle.rs:525:thread_local! {
F09B	crates/sema-core/src/io_backend.rs:141:/// [`IoBackend::block_on_boxed`]: the output travels through a stack slot, so
F09B	crates/sema-core/src/io_backend.rs:144:/// `sema_io::io_block_on`. NATIVE-ONLY semantics — see the trait method.
F09B	crates/sema-core/src/io_backend.rs:145:pub fn io_block_on<F: Future>(fut: F) -> F::Output {
